Assembly	polished
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	103627
Total length (>= 1000 bp)	103627
Total length (>= 5000 bp)	103627
Total length (>= 10000 bp)	103627
Total length (>= 25000 bp)	103627
Total length (>= 50000 bp)	103627
# contigs	1
Largest contig	103627
Total length	103627
GC (%)	48.78
N50	103627
N90	103627
auN	103627.0
L50	1
L90	1
# N's per 100 kbp	0.00
